{\rtf1\ansi\ansicpg1252\cocoartf1671\cocoasubrtf400
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww28600\viewh15460\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs24 \cf0 PRICE , ROOMS, SIZE, ADDRESS, NUMBER , LAT, LON
\pard\pardeftab720\partightenfactor0
2190,4.5,129,Falkensteinstrasse,54,47.430921,9.396702
2330,4.5,120,Schmiedgasse,35,47.423528,9.374982
2360,4.5,129,Falkensteinstrasse,54,47.430921,9.396702
2450,3.5,128,Oberstrasse,159,47.413962,9.355382
2455,4.5,110,Goliathgasse,37,47.427974,9.377123
2490,5.5,175,Scheidwegstrasse,22,47.434347,9.402852
2710,5,140,Winkelriedstrasse,39,47.427065,9.371177
3140,1,13,Langgasse,70,47.438803,9.390488
450,1,30,Heiligkreuzstrasse,43,47.439568,9.394434
860,2,41,Langgasse,41,47.436822,9.387571
910,3,60,Heimatstrasse,29,47.43588,9.39252
930,2,40,Schubertstrasse,15,47.437334,9.3857
1020,2,55,Langgasse,43,47.437041,9.387925
1160,2.5,66,Schubertweg,3,47.436947,9.386306
1197,3,90,Kolumbanstrasse,59,47.440253,9.392848
1250,3.5,78,Aeplistrasse,3,47.43446,9.38699
1270,4,72,Aeplistrasse,3,47.43446,9.38699
1305,2.5,77,Langgasse,11,47.434608,9.384761
1340,4.5,100,Espentobelstrasse,5,47.440775,9.396922
1350,4,90,Kolumbanstrasse,57,47.440108,9.392758
1350,2.5,60,Flaschnerweg,39,47.435301,9.388143
1370,4,90,Heiligkreuzstrasse,32,47.439102,9.395045
1385,4,80,Langgasse,99,47.440622,9.392229
1410,4.5,100,Langgasse,89,47.440033,9.391563
1430,3,64,Kolumbanstrasse,14,47.436078,9.390573
1485,4,90,Langgasse,70,47.438803,9.390488
1490,5,110,Langgasse,99,47.440622,9.392229
1540,4.5,92,Sonnrainweg,10,47.447779,9.397671
1650,4.5,92,Sonnrainweg,14,47.447548,9.397698
1680,5.5,100,Langgasse,56,47.438011,9.389246
1980,4.5,85,Seeblickstr,9,47.440225,9.377765
1234,5,94,Ludwigstr,5,47.439939,9.377471
1235,3.5,67,Gatterstr,13,47.433161,9.371842
1390,3.5,60,Gatterstr,8,47.432944,9.372579
2390,3,50,Georgenstrasse,153,47.41517,9.395707
980,2.5,40,Georgenstrasse,153,47.41517,9.395707
980,3.5,83,Georgenstrasse,201,47.414826,9.400424
1395,3.5,125,Bachweidstr,3,47.414361,9.397345
1060,2.5,48,Solituedenstrasse,48,47.406697,9.320854
1200,3,00,Teufenerstrasse,149,47.410969,9.36696
1460,2,55,Altmannstrasse,18,47.412783,9.364361
1470,4.5,00,Teufenerstrasse,148,47.410901,9.366542
1590,2,44,Altmannstrasse,18,47.412783,9.364361
1095,2,38,Rickenstrasse,20,47.407512,9.332598
1095,2,38,Rickenstrasse,22,47.407462,9.332385
1195,2.5,51,Rickenstrasse,22,47.407462,9.332385
1195,2,45,Rickenstrasse,22,47.407462,9.332385
1250,4,76,Hungerbuehlerstrasse,6,47.410552,9.333237
1290,4,85,Zuercherstrasse,288,47.408204,9.328289
1395,3,79,Walserstrasse,4,47.407453,9.334312
1519,4.5,00,Stationsstrasse,1,47.408748,9.331291
1870,3.5,96,Fuerstenlandstrasse,179,47.409335,9.3323
2010,4.5,00,Blumenstrasse,7,47.409055,9.332184
1280,3.5,00,Letzistrasse,13,47.403666,9.299149
1360,3.5,85,Mittelholzerstrasse,11,47.402066,9.300125
1450,4,00,Kraezernstrasse,30,47.406697,9.320854
1480,4.5,00,Letzistrasse,11,47.403615,9.299604
1590,4.5,94,Kraezernstrasse,8,47.407367,9.325391
1600,2.5,41,Kraezernstrasse,30,47.406697,9.320854
1960,5.5,149,Kraezernstrasse,8,47.407367,9.325391
1125,3.5,00,Martinsbruggstrasse,18,47.436442,9.407645
1150,2.5,71,Gruenaustrasse,28,47.436007,9.404672
1170,3,00,Martinsbruggstrasse,30,47.436117,9.409344
1200,2.5,00,Martinsbruggstrasse,14,47.436549,9.407398
1250,4,00,Martinsbruggstrasse,30,47.436353,9.409206
1250,3,70,Rorschacherstrasse,236,47.435877,9.403962
1250,2.5,70,Reherstrasse,21,47.43756,9.416555
1250,2.5,00,Reherstrasse,22,47.437363,9.417505
1300,4,00,Martinsbruggstrasse,30,47.435834,9.409545
1330,4,00,Martinsbruggstrasse,30,47.436353,9.409206
